"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Unidade da Federação";"Ano";"Produto das lavouras temporárias e permanentes";"Variável"
"Unidade da Federação";"Ano";"Produto das lavouras temporárias e permanentes";"Quantidade produzida (Toneladas)";"Valor da produção (Mil Reais)"
"Rondônia";"2007";"Mamona (baga)";"-";"-"
"Rondônia";"2007";"Mandioca";"530521";"153958"
"Rondônia";"2007";"Manga";"1656";"807"
"Rondônia";"2007";"Maracujá";"3661";"1913"
"Rondônia";"2007";"Marmelo";"-";"-"
"Rondônia";"2007";"Melancia";"12752";"4426"
"Rondônia";"2007";"Melão";"-";"-"
"Rondônia";"2007";"Milho (em grão)";"249927";"80717"
"Rondônia";"2007";"Noz (fruto seco)";"-";"-"
"Rondônia";"2007";"Palmito";"1562";"2829"
"Rondônia";"2007";"Pera";"-";"-"
"Rondônia";"2007";"Pêssego";"-";"-"
"Rondônia";"2007";"Pimenta-do-reino";"212";"763"
"Rondônia";"2007";"Rami (fibra)";"-";"-"
"Rondônia";"2007";"Sisal ou agave (fibra)";"-";"-"
"Rondônia";"2007";"Soja (em grão)";"259069";"101037"
"Rondônia";"2007";"Sorgo (em grão)";"-";"-"
"Rondônia";"2007";"Tangerina";"902";"280"
"Rondônia";"2007";"Tomate";"7235";"4216"
"Rondônia";"2007";"Trigo (em grão)";"-";"-"
"Rondônia";"2007";"Triticale (em grão)";"-";"-"
"Rondônia";"2007";"Tungue (fruto seco)";"-";"-"
"Rondônia";"2007";"Urucum (semente)";"2775";"6572"
"Rondônia";"2007";"Uva";"224";"226"
"Rondônia";"2008";"Abacate";"704";"273"
"Rondônia";"2008";"Abacaxi*";"16784";"11459"
"Rondônia";"2008";"Açaí";"...";"..."
"Rondônia";"2008";"Alfafa fenada";"...";"..."
"Rondônia";"2008";"Algodão arbóreo (em caroço)";"-";"-"
"Rondônia";"2008";"Algodão herbáceo (em caroço)";"-";"-"
"Rondônia";"2008";"Alho";"-";"-"
"Rondônia";"2008";"Amendoim (em casca)";"65";"127"
"Rondônia";"2008";"Arroz (em casca)";"144311";"79146"
"Rondônia";"2008";"Aveia (em grão)";"-";"-"
"Rondônia";"2008";"Azeitona";"-";"-"
"Rondônia";"2008";"Banana (cacho)";"48058";"28969"
"Rondônia";"2008";"Batata-doce";"-";"-"
"Rondônia";"2008";"Batata-inglesa";"-";"-"
"Rondônia";"2008";"Borracha (látex coagulado)";"187";"317"
"Rondônia";"2008";"Borracha (látex líquido)";"...";"..."
"Rondônia";"2008";"Cacau (em amêndoa)";"17484";"56519"
"Rondônia";"2008";"Café (em grão) Total";"112555";"333375"
"Rondônia";"2008";"Café (em grão) Arábica";"...";"..."
"Rondônia";"2008";"Café (em grão) Canephora";"...";"..."
"Rondônia";"2008";"Caju";"...";"..."
"Rondônia";"2008";"Cana-de-açúcar";"207438";"14905"
"Rondônia";"2008";"Cana para forragem";"...";"..."
"Rondônia";"2008";"Caqui";"-";"-"
"Rondônia";"2008";"Castanha de caju";"-";"-"
"Rondônia";"2008";"Cebola";"-";"-"
"Rondônia";"2008";"Centeio (em grão)";"-";"-"
"Rondônia";"2008";"Cevada (em grão)";"-";"-"
"Rondônia";"2008";"Chá-da-índia (folha verde)";"-";"-"
"Rondônia";"2008";"Coco-da-baía*";"6673";"3316"
"Rondônia";"2008";"Dendê (cacho de coco)";"-";"-"
"Rondônia";"2008";"Erva-mate (folha verde)";"-";"-"
"Rondônia";"2008";"Ervilha (em grão)";"-";"-"
"Rondônia";"2008";"Fava (em grão)";"-";"-"
"Rondônia";"2008";"Feijão (em grão)";"46111";"71983"
"Rondônia";"2008";"Figo";"-";"-"
"Rondônia";"2008";"Fumo (em folha)";"-";"-"
"Rondônia";"2008";"Girassol (em grão)";"-";"-"
"Rondônia";"2008";"Goiaba";"529";"161"
"Rondônia";"2008";"Guaraná (semente)";"36";"131"
"Rondônia";"2008";"Juta (fibra)";"-";"-"
"Rondônia";"2008";"Laranja";"8424";"3020"
"Rondônia";"2008";"Limão";"1788";"588"
"Rondônia";"2008";"Linho (semente)";"-";"-"
"Rondônia";"2008";"Maçã";"-";"-"
"Rondônia";"2008";"Malva (fibra)";"-";"-"
